Team,Games Played,Goals Scored,GSPG,Goals Allowed,GAPG,Year,Conference
Dallas Stars*,82,238,2.9,246,3.0,2022,West
Nashville Predators*,82,266,3.2,252,3.1,2022,West
Winnipeg Jets,82,252,3.1,257,3.1,2022,West
Chicago Blackhawks,82,219,2.7,291,3.5,2022,West
Arizona Coyotes,82,207,2.5,313,3.8,2022,West
Calgary Flames*,82,293,3.6,208,2.5,2022,West
Edmonton Oilers*,82,290,3.5,252,3.1,2022,West
Los Angeles Kings*,82,239,2.9,236,2.9,2022,West
Vegas Golden Knights,82,266,3.2,248,3.0,2022,West
Vancouver Canucks,82,249,3.0,236,2.9,2022,West
San Jose Sharks,82,214,2.6,264,3.2,2022,West
Anaheim Ducks,82,232,2.8,271,3.3,2022,West
Seattle Kraken,82,216,2.6,285,3.5,2022,West
